IDENTIFIED UPVN 0
IDENTIFIED UVNI 42 / Classic 0.0.16a_02
SERVERBOUND --> 0 "Player Identification" / 130 bytes
CLIENTBOUND <-- 0 "Server Identification" / 130 bytes
CLIENTBOUND <-- 2 "Level Initilize" / 1 bytes
CLIENTBOUND <-- 4 "Level Finalize" / 7 bytes
CLIENTBOUND <-- 7 "Spawn Player" / 74 bytes
SERVERBOUND --> 8 "Position and Orientation" / 130 bytes
SERVERBOUND --> 8 "Position and Orientation" / 120 bytes
SERVERBOUND --> 8 "Position and Orientation" / 110 bytes
SERVERBOUND --> 8 "Position and Orientation" / 100 bytes
SERVERBOUND --> 8 "Position and Orientation" / 90 bytes
SERVERBOUND --> 8 "Position and Orientation" / 80 bytes
SERVERBOUND --> 8 "Position and Orientation" / 70 bytes
SERVERBOUND --> 8 "Position and Orientation" / 60 bytes
SERVERBOUND --> 8 "Position and Orientation" / 50 bytes
SERVERBOUND --> 8 "Position and Orientation" / 40 bytes
SERVERBOUND --> 8 "Position and Orientation" / 30 bytes
SERVERBOUND --> 8 "Position and Orientation" / 20 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
CLIENTBOUND <-- 13 "Message" / 66 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 30 bytes
SERVERBOUND --> 8 "Position and Orientation" / 20 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 20 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
SERVERBOUND --> 8 "Position and Orientation" / 10 bytes
